index,data,total
3,InvenTree App,15
0,API,11
1,Python Interface,10
7,Ki-nTree,7
2,Plugins,6
9,Custom branch,3
5,Barcode Plugins,3
10,Other,1
6,Reports,1
8,PK2InvenTree,0
4,Action Plugins,0
