index,data,total
2,BOM management,17
7,Build management,9
4,Customer management,3
11,Machine management,3
6,Order fulfillment,7
12,Other,1
0,Parts management,26
5,Pricing and price history,10
10,Purchasing management,12
8,QA tracking / management,5
9,Reporting,4
1,Stock keeping,23
3,Supplier management,11
