index,data,total
0,English,23
1,German,4
8,Italian,1
3,Dutch,1
21,Other,0
20,Vietnamese,0
19,Turkish,0
18,Thai,0
17,Swedish,0
16,"Spanisch, Mexico",0
15,Spanish,0
14,Russian,0
13,Portugese,0
12,Polish,0
11,Norwegian,0
10,Korean,0
9,Japanese,0
7,Indonesian,0
6,Hebrew,0
5,Greek,0
4,French,0
2,Chinese Simplified,0
