index,data,total
0,English,26
1,German,8
17,Swedish,2
14,Russian,2
8,Italian,2
"4"" class=""",French,2
3,Dutch,2
11,Norwegian,1
6,Hebrew,1
2,Chinese Simplified,1
21,Other,0
20,Vietnamese,0
19,Turkish,0
18,Thai,0
16,"Spanisch, Mexico",0
15,Spanish,0
13,Portugese,0
12,Polish,0
10,Korean,0
9,Japanese,0
7,Indonesian,0
5,Greek,0
