index,data,total
2,Submitted bug report,10
3,Added feature request,7
0,Added translation,7
6,Submitted code,6
9,Improved documentation,4
1,Proofread translation,4
5,Answered issue / discussion,3
4,Started discussion,3
7,Reviewed code,2
8,Donated / code bounty,1
10,Other,0
