index,data,rating,total
4,5 - Satisfied,75,15
5,6 - Very Satisfied,36,6
3,4 - Somewhat Satisfied,12,3
1,2 - Unsatisfied,2,1
0,1 - Very Unsatisfied,1,1
2,3 - Somewhat Unsatisfied,0,0
