index,data,total
0,Parts management,11
1,Stock keeping,10
2,BOM management,9
5,Pricing and price history,7
12,Other,6
9,Reporting,4
11,Machine management,3
3,Supplier management,3
10,Purchasing management,2
8,QA tracking / management,2
7,Build management,1
6,Order fulfillment,0
4,Customer management,0
